지역,현재일기,시정,운량,중하운량,현재기온,이슬점온도,불쾌지수,일강수,습도,풍향,풍속,해면기압
강릉,NA,16.9,NA,NA,27.5,13.0,74,NA,41,남서,NA,1011.1
강진군,NA,20 이상,NA,NA,27.6,16.5,75,NA,51,남남서,NA,1012.4
강화,NA,20 이상,NA,NA,22.3,14.6,69,0.0,62,서북서,NA,1014.4
거제,NA,14.0,NA,NA,24.8,15.1,72,NA,55,남서,NA,1014.0
거창,NA,20 이상,NA,NA,29.7,12.5,76,NA,35,남남서,NA,1011.7
경주시,NA,20 이상,NA,NA,30.0,16.4,77,NA,44,북,NA,1012.0
고산,NA,20 이상,NA,NA,23.4,21.8,73,NA,91,남남동,NA,1013.7
고창,NA,17.5,NA,NA,28.5,16.0,76,NA,47,남서,NA,1012.5
고창군,NA,20 이상,NA,NA,29.0,16.2,76,NA,46,남서,NA,1012.2
고흥,NA,20 이상,NA,NA,26.9,15.9,74,NA,51,서,NA,1013.2
광양시,NA,15.7,NA,NA,27.6,18.0,76,NA,56,남서,NA,1013.6
광주,맑음,19.3,1,0,29.5,16.6,77,NA,46,서남서,NA,1012.3
구미,NA,20 이상,NA,NA,28.2,15.1,75,NA,45,동북동,NA,1012.3
군산,NA,20 이상,NA,NA,26.3,17.0,74,NA,57,서북서,NA,1013.3
금산,NA,20 이상,NA,NA,28.9,13.1,75,NA,38,서북서,NA,1012.5
김해시,NA,20 이상,NA,NA,27.5,18.7,76,NA,59,남동,NA,1013.8
남원,NA,20 이상,NA,NA,29.6,13.3,76,NA,37,서북서,NA,1012.4
남해,NA,20 이상,NA,NA,26.7,15.0,74,NA,49,서북서,NA,1013.2
대관령,NA,15.4,NA,NA,20.7,11.8,67,NA,57,서,NA,1011.4
대구,구름많음,20 이상,7,0,29.9,12.7,76,NA,35,북북서,NA,1012.1
대전,구름많음,20 이상,6,0,29.1,11.6,75,NA,34,서남서,NA,1013.0
동두천,NA,20 이상,NA,NA,20.7,18.0,68,0.0,85,북북동,NA,1014.3
동해,NA,20 이상,NA,NA,24.5,13.3,71,NA,50,북서,NA,1011.3
목포,구름조금,19.5,4,0,25.2,17.8,74,NA,64,서남서,NA,1013.2
문경,NA,20 이상,NA,NA,26.5,13.9,73,NA,46,북북서,NA,1012.2
